title,link,summary,keywords
Mice in Bion-M 1 space mission: training and selection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,"Russia's Bion-M 1 mission resumed space biomedical research with mice, investigating adaptation to long-term microgravity exposure. Mice were trained for spaceflight, including diet adaptation and behavioral tests, and displayed disadaptation post-flight.",microgravity; mice; spaceflight; training; adaptation; biomedical research; space biology; C57/BL6 mice; behavioral tests; diet adaptation; space habitat; spacecraft; housing groups; co-adaptation; behavioral measurements; home-cage; continuous behavioral measurements; in vivo studies; in vitro studies; recovery study; space experiments; space research; space biology research; space biomedical research; space adaptation; space disadaptation; space training program; space mice; space welfare.
"Microgravity induces pelvic bone loss through osteoclastic activity, osteocytic osteolysis, and osteoblastic cell cycle inhibition by CDKN1a/p21",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,"Microgravity causes bone loss in mice through osteoclastic activity, osteocytic osteolysis, and osteoblastic cell cycle inhibition by CDKN1a/p21.",microgravity; bone loss; osteoclasts; osteocytes; CDKN1a/p21; osteoblasts; MMPs; spaceflight.
Stem Cell Health and Tissue Regeneration in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/,"Microgravity influences human health by impacting immune system, promoting cancer stem cell formation, enhancing tissue regeneration, and altering organ function.",microgravity; human cells; immune system; cancer stem cells; tissue regeneration; organ function; space medicine; terrestrial health.
Microgravity Reduces the Differentiation and Regenerative Potential of Embryonic Stem Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,Microgravity and microspheres improve hASC stemness and differentiation potential.,microgravity; stem cells; hASCs; differentiation; regenerative therapy; microspheres; culture conditions; pluripotent markers; proliferation; colony formation; network formation; multiple-mesenchymal differentiation.
Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,"NASA's WetLab-2 facility on the International Space Station enables real-time gene expression analysis in microgravity, with similar results to Earth and successful suppression of gas bubble formation.",International Space Station; NASA; molecular biology; gene expression; microgravity; WetLab-2; real-time PCR; DNA standards; RNA; Escherichia coli; mouse liver tissue; thermal cycling; gas bubbles; ISS National Lab.
Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,"Spaceflight changes gene expression in heart tissue, affecting oxidative stress and cell cycle pathways.",spaceflight; heart; gene expression; oxidative stress; cell cycle; Nfe2l2; Nox1; Ptgs2; Cdkn1a; Myc; Tnf; redox balance; cardiac dysfunction
Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,"High-LET radiation at a high dose (200 cGy) impairs osteoblastogenesis and increases redox-related gene expression, leading to persistent bone loss.",radiation; skeletal health; osteoblastogenesis; redox-related genes; bone loss; high-LET radiation; doses; gene expression; space radiation.
From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460236/,"NASA advocates for translational research to advance human spaceflight goals, providing examples and proposing a collaborative path forward.",NASA; translational research; human spaceflight; collaboration; research; goals; space exploration; space habitation.
High-precision method for cyclic loading of small-animal vertebrae to assess bone quality.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,"Researchers developed a precise method for ex vivo cyclic compressive loading of mouse vertebral bodies, reducing scatter and improving precision for biomechanical testing.",bone quality; cyclic loading; ex vivo; fatigue life; finite element analysis; mouse vertebrae; precision; small animals.
Effects of ex vivo ionizing radiation on collagen structure and whole-bone mechanical properties of mouse vertebrae.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/,"Ionizing radiation causes collagen fragmentation and non-enzymatic crosslinking in mouse vertebrae, reducing monotonic and cyclic compressive strength.",ionizing radiation; collagen; bone; mouse vertebrae; compressive strength; collagen fragmentation; non-enzymatic crosslinking; ex vivo experiment.
Functional redundancy between trans-Golgi network SNARE family members in Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11500582/,"The uncharacterized Arabidopsis protein AtGTLP, which interacts with a trans-Golgi network-localized Qa-SNARE, is likely a novel member of the Arabidopsis fucosyltransferase family. AtGTLP, a membrane-anchored protein, primarily localizes to the Golgi apparatus. Its redundant functions with similar proteins may explain why single atgtlp mutants show no obvious phenotype.",Arabidopsis thaliana; SNAREs; membrane trafficking; Golgi apparatus; AtGTLP; fucosyltransferases; redundancy.
Root growth movements: Waving and skewing.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,"A trans-Golgi network protein, TNO1, influences root skewing and cell morphology in Arabidopsis thaliana.",plant roots; TNO1; microtubules; cell morphology; Arabidopsis thaliana; root growth; trans-Golgi network; SNARE machinery.
Gravitropism and lateral root emergence are dependent on the trans-Golgi network protein TNO1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4642138/,"The TGN protein TNO1 is required for efficient protein trafficking to the vacuole and normal auxin transport, affecting lateral root emergence and gravitropic bending.",TGN; TNO1; protein trafficking; vacuole; auxin transport; lateral root emergence; gravitropism.
"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,"TNO1, a TGN-localized protein, influences root skewing and cell morphology in Arabidopsis thaliana; its effect is dependent on microtubules.",Arabidopsis thaliana; TNO1; root skewing; microtubules; cell morphology; TGN-localized SNARE machinery
Toll mediated infection response is altered by gravity and spaceflight in Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901686/,"Hypergravity enhances Toll-mediated immunity in Drosophila, while spaceflight impairs it, causing a Toll pathway failure.",Drosophila; immune system; Toll pathway; hypergravity; spaceflight; microorganisms; transcription profiling; heat shock stress system; gravitaxis mutant; yuri gagarin gene.
Multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6985101/,Space travel causes lipid dysregulation in mouse livers.,space travel; lipid dysregulation; mouse liver; multi-omics analysis
GeneLab database analyses suggest long-term impact of space radiation on the cardiovascular system by the activation of FYN through reactive oxygen species.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/,"Space radiation, specifically protons, activates FYN through reactive oxygen species, reducing ROS levels and protecting the cardiovascular system.",space radiation; cardiovascular system; FYN; reactive oxygen species; GeneLab database; protons; astronauts' health; ISS; omics analysis
NASA GeneLab platform utilized for biological response to space radiation in animal models,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,"NASA GeneLab project analyzes radiation effects on animals, revealing distinct biological responses to specific ions in space.",NASA GeneLab; radiation; animal models; space; health risks; mitochondrial function; ribosomal assembly; immune pathways; ionizing radiation; galactic cosmic rays
Circulating miRNA spaceflight signature reveals targets for countermeasure development,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,"A spaceflight-associated miRNA signature has been identified and validated in rodents and humans, and these miRNAs regulate vascular damage caused by simulated deep space radiation.",miRNA; spaceflight; signature; rodents; humans; vascular damage; deep space radiation; antagomirs; 3D vascular constructs.
Machine learning algorithm to characterize antimicrobial resistance associated with the International Space Station surface microbiome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9400218/,"Machine learning algorithm identifies antimicrobial resistance genes in International Space Station microbiome samples, revealing dominance in certain bacteria and high resistance to beta-lactam antibiotics in Enterobacter bugandensis and Bacillus cereus.",antimicrobial resistance; machine learning; International Space Station; microbiome; bacteria; beta-lactam antibiotics.
Extraterrestrial Gynecology: Could Spaceflight Increase the Risk of Developing Cancer in Female Astronauts? An Updated Review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9267413/,"Microgravity affects the human cardiovascular system, causing changes in blood pressure, cardiac output, and fluid shifts, potentially leading to cardiovascular diseases.",microgravity; cardiovascular system; blood pressure; cardiac output; fluid shifts; diseases
Muscle atrophy phenotype gene expression during spaceflight is linked to a metabolic crosstalk in both the liver and the muscle in mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9576569/,"Spaceflight affects lipid metabolism in both the liver and muscle of mice, leading to muscle atrophy and energy-saving responses.",spaceflight; muscle atrophy; liver; lipid metabolism; gene expression; mice; NASA RR1 mission; dietary changes
Chromosomal positioning and epigenetic architecture influence DNA methylation patterns triggered by galactic cosmic radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10789781/,"Galactic cosmic radiation (GCR) alters DNA methylation patterns, with 56Fe inducing persistent increases and 28Si/X-ray causing non-persistent decreases. Chromatin architecture plays a role in cell response to this radiation.",galactic cosmic radiation; DNA methylation; chromatin architecture; ionizing radiation; cell nucleus; nuclear chromatin; gene expression; mice; astronauts.
"A comprehensive SARS-CoV-2 and COVID-19 review, Part 2: Host extracellular to systemic effects of SARS-CoV-2 infection",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10772081/,"This review, part 2 of a series, explores the post-acute effects of SARS-CoV-2 infection on various tissues and organs.",COVID-19; SARS-CoV-2; post-acute disease; tissue damage; organ adaptations; clinical studies; virology; pathogenesis; research.
Aging and putative frailty biomarkers are altered by spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166946/,Spaceflight induces molecular changes linked to aging and frailty in astronauts.,astronauts; aging; frailty; spaceflight; gene expression; molecular changes; health monitoring; GeneLab; JAXA; Inspiration4.
Space radiation damage rescued by inhibition of key spaceflight associated miRNAs,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166944/,"Space radiation damage can be mitigated by inhibiting specific microRNAs, as shown by reduced inflammation, DNA double strand breaks, and improved mitochondria functions in cell cultures and human data.",space radiation; microRNAs; countermeasure; inflammation; DNA double strand breaks; mitochondria; astronauts; spaceflight missions
Ethical considerations for the age of non-governmental space exploration,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166968/,Ethical concerns arise for non-governmental space exploration due to diverse space travelers and under-explored policy and practice issues.,ethics; legal; medical; policy; practice; non-governmental; commercial; private; space exploration; human subject research; space travelers
Innate immune responses of Drosophila melanogaster are altered by spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000411/,"Spaceflight enhances the virulence of Serratia marcescens in Drosophila melanogaster, but this effect does not persist upon return to Earth.",Drosophila melanogaster; Serratia marcescens; immune system; spaceflight; virulence; bacteria; host; microgravity; in vitro; Imd; Toll.
